StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Luddy or not?,"other_department ","luddy_department ",sense of belonging _1,sense of belonging _2,sense of belonging _3,sense of belonging _4,sense of belonging _5,sense of belonging _6,sense of belonging _7,sense of belonging _8,sense of belonging _9,sense of belonging _10,sense of belonging _11,sense of belonging _12,sense of belonging _13,sense of belonging _14,sense of belonging _15,sense of belonging _16,Q19,Q12,Q13,Q15,Q16,Q17,Q14,Q6,Q10,Q10_4_TEXT,Q11,Q12,nationality,Q22
2022-09-08 16:27:12,2022-09-08 16:28:54,IP Address,129.79.197.188,100,101,True,2022-09-08 16:28:54,R_1P7d1a2BVcM33GG,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
2022-09-08 17:12:33,2022-09-08 17:15:12,IP Address,129.79.197.247,100,158,True,2022-09-08 17:15:13,R_rkdYbY8x8NP9M65,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Info I222,Female,,White or Caucasian,No,,
2022-09-09 11:39:05,2022-09-09 11:41:07,IP Address,129.79.197.173,100,122,True,2022-09-09 11:41:08,R_1OIGaeT7knLteB6,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,Xuhong Zhang,Prefer not to say,,Prefer not to say,No,,Q2LUD2F-4585
2022-09-09 12:13:04,2022-09-09 12:15:12,IP Address,50.195.210.221,100,128,True,2022-09-09 12:15:12,R_20SBSXesW2WCu92,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I-222,Male,,White or Caucasian,No,,
2022-09-09 12:20:22,2022-09-09 12:22:55,IP Address,129.79.197.3,100,152,True,2022-09-09 12:22:55,R_2c6iVugBezlLZxM,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",School of Public Health,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information society,Male,,White or Caucasian,No,,
2022-09-09 14:11:08,2022-09-09 14:14:46,IP Address,104.241.40.25,100,218,True,2022-09-09 14:14:46,R_2E3LbU62dVkth9Q,,,,,39.1963,-86.5776,anonymous,EN,"No, I am a student in another school/department","School of Public Health ",,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,"The Information Society ",Male,,White or Caucasian,No,,
2022-09-09 14:58:07,2022-09-09 15:00:59,IP Address,153.33.50.30,100,172,True,2022-09-09 15:00:59,R_1kF95AlIGNqeOOC,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Other,Somewhat disagree,Somewhat disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,two years,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,No,,Q2LUD2F-5522
2022-09-09 17:20:06,2022-09-09 17:22:29,IP Address,68.45.74.121,100,143,True,2022-09-09 17:22:29,R_2VxRrUWZWdCBNyY,,,,,39.1215,-86.5784,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,three years,Yes,Yes,Yes,Yes,Yes,Yes,"I222 Information Society ",Male,,White or Caucasian,No,,
2022-09-10 08:17:38,2022-09-10 08:25:57,IP Address,73.103.233.73,100,499,True,2022-09-10 08:25:57,R_24FVcYuoqNbJQHb,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,Computing and Environment,Female,,Prefer not to say,No,,
2022-09-07 22:38:53,2022-09-10 11:53:08,IP Address,129.79.197.252,100,220454,True,2022-09-10 11:53:08,R_1FG2Net7tw9Eyxd,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department","Kelley School of Business ",,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"The Information Society ",Female,,Asian,No,,Q2LUD2F-8077
2022-09-10 13:14:24,2022-09-10 13:16:10,IP Address,73.103.219.179,100,106,True,2022-09-10 13:16:10,R_3PdHkpxzwCmOkSq,,,,,39.711,-86.2591,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,Info 222,Female,,Asian,No,,
2022-09-10 14:16:13,2022-09-10 14:19:31,IP Address,129.79.197.76,100,197,True,2022-09-10 14:19:31,R_3NXo0MZdEaKKWzc,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,INFO 1222,Female,,Black or African American,No,,Q2LUD2F-2136
2022-09-10 17:41:21,2022-09-10 17:44:00,IP Address,73.110.84.247,100,158,True,2022-09-10 17:44:01,R_3h6bXviiP5CA1ZT,,,,,41.4253,-87.3565,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,four years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I222,Male,,White or Caucasian,No,,
2022-09-10 19:57:42,2022-09-10 20:07:39,IP Address,129.79.197.130,100,596,True,2022-09-10 20:07:39,R_2PuQlrbjmDyOhAV,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",college of arts and sciences,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,The Information Society,Male,,White or Caucasian,Yes,,
2022-09-10 21:22:48,2022-09-10 21:29:50,IP Address,149.159.1.183,100,422,True,2022-09-10 21:29:51,R_2tnaI1Ei3vzSA4l,,,,,39.2273,-86.466,anonymous,EN,"No, I am a student in another school/department",The Media School,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,four years,Yes,Yes,Yes,Yes,Yes,Yes,FA22-BL-INFO-I222-12858: The Information Society,Male,,White or Caucasian,No,,
2022-09-10 22:35:13,2022-09-10 22:40:53,IP Address,75.15.12.35,100,339,True,2022-09-10 22:40:53,R_YSr0Rp8gnx0lJEB,,,,,39.1397,-86.5141,anonymous,EN,"No, I am a student in another school/department",arts and sciences,,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I 222,Female,,White or Caucasian,No,,
2022-09-11 00:47:45,2022-09-11 00:50:11,IP Address,174.202.99.106,100,145,True,2022-09-11 00:50:11,R_1ILvZwugYxf5fax,,,,,39.2051,-85.9324,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,I222,Female,,White or Caucasian,No,,
2022-09-11 09:08:14,2022-09-11 09:09:24,IP Address,216.80.61.13,100,70,True,2022-09-11 09:09:24,R_2fvVClaqqCNboqA,,,,,41.9032,-87.6383,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Info-222,Male,,"White or Caucasian,Asian",No,,Q2LUD2F-7942
2022-09-11 09:41:51,2022-09-11 09:45:17,IP Address,129.79.197.23,100,206,True,2022-09-11 09:45:17,R_2v1iLrcoiFli34s,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley School Of Business,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"The Information Society ",Male,,Prefer not to say,No,,Q2LUD2F-1345
2022-09-11 09:56:50,2022-09-11 09:59:25,IP Address,173.161.82.177,100,155,True,2022-09-11 09:59:25,R_3EcGQ5gaXV1kFH0,,,,,41.9462,-88.0758,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly Disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,"I-222, The Information Society",Male,,White or Caucasian,No,,Q2LUD2F-8632
2022-09-11 10:29:50,2022-09-11 10:33:38,IP Address,129.79.197.1,100,227,True,2022-09-11 10:33:40,R_2eWm9LbNeTdWoN3,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley School of Business,,Strongly agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,three years,No,Yes,Yes,Yes,Yes,Yes,The Information Society [INFO-I-222],Female,,Asian,No,,
2022-09-11 11:21:02,2022-09-11 11:22:51,IP Address,129.79.197.246,100,108,True,2022-09-11 11:22:52,R_2YQaeD1LQcozciy,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,i222,Male,,Asian,No,,
2022-09-11 11:40:38,2022-09-11 11:44:59,IP Address,153.33.50.23,100,261,True,2022-09-11 11:45:00,R_3RpGZSHsydOW473,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,two years,No,No,Yes,Yes,Yes,Yes,I222,Male,,White or Caucasian,No,,
2022-09-11 10:15:24,2022-09-11 11:45:54,IP Address,129.79.197.174,100,5429,True,2022-09-11 11:45:54,R_3KClSs8T5nBsq3V,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,I222,Female,,Asian,No,,Q2LUD2F-6142
2022-09-11 13:06:00,2022-09-11 13:09:58,IP Address,129.79.197.5,100,238,True,2022-09-11 13:09:58,R_1dHyGkp32bGbvrf,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I222: The Information Society,Male,,Black or African American,No,,
2022-09-11 13:14:21,2022-09-11 13:17:37,IP Address,129.79.197.164,100,195,True,2022-09-11 13:17:37,R_1g75De4b1MkcF7g,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,INFO-I222,Female,,White or Caucasian,No,,Q2LUD2F-8294
2022-09-11 13:38:56,2022-09-11 13:40:37,IP Address,129.79.197.230,100,101,True,2022-09-11 13:40:37,R_2sYFelSXHvQ3E0o,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley School of Business,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,I222,Male,,White or Caucasian,No,,
2022-09-11 14:00:18,2022-09-11 14:06:15,IP Address,129.79.197.69,100,356,True,2022-09-11 14:06:15,R_OQlI1wW6vFxGxLX,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",university division,,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"I222 information society ",Female,,Asian,No,,
2022-09-11 14:03:47,2022-09-11 14:07:03,IP Address,129.79.197.240,100,195,True,2022-09-11 14:07:03,R_10IcDzge9npJ2Sf,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",Kelley,,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information society,Male,,Asian,No,,Q2LUD2F-4034
2022-09-11 14:46:33,2022-09-11 14:48:08,IP Address,96.79.81.201,100,94,True,2022-09-11 14:48:08,R_3hA3LnoQKQacXXA,,,,,39.8655,-86.122,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,i222,Male,,White or Caucasian,No,,Q2LUD2F-2387
2022-09-11 14:55:26,2022-09-11 14:59:12,IP Address,153.33.50.29,100,225,True,2022-09-11 14:59:12,R_56I4eBnETpiVwBj,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,"The Information Society ",Female,,White or Caucasian,No,,
2022-09-11 15:10:40,2022-09-11 15:12:31,IP Address,12.159.86.223,100,110,True,2022-09-11 15:12:31,R_3lRZpy7y6SsnkVM,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
2022-09-11 15:11:57,2022-09-11 15:15:57,IP Address,68.58.32.37,100,240,True,2022-09-11 15:15:57,R_1QyL3gADHkyE24j,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Data Science,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,this is my first year,Yes,Yes,Yes,No,Yes,Yes,Applied Machine Learning,Female,,Asian,No,,
2022-09-11 16:09:20,2022-09-11 16:10:45,IP Address,153.33.50.22,100,85,True,2022-09-11 16:10:46,R_3CTQu9ufmcRBH0S,,,,,39.2273,-86.466,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,The Information Society,Male,,Asian,No,,
2022-09-11 16:40:49,2022-09-11 16:43:35,IP Address,68.54.134.172,100,165,True,2022-09-11 16:43:35,R_AHB9PQMB4scxtq9,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,info I-222,Male,,White or Caucasian,No,,
2022-09-11 17:25:54,2022-09-11 17:30:19,IP Address,69.223.61.35,100,264,True,2022-09-11 17:30:19,R_rdQz24ZFwv34VsB,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,three years,Yes,No,Yes,Yes,Yes,Yes,The information society,Male,,White or Caucasian,No,,
2022-09-11 17:45:49,2022-09-11 17:49:24,IP Address,98.97.6.20,100,215,True,2022-09-11 17:49:25,R_e4f5vqJ6D69uTRL,,,,,41.8874,-87.6318,anonymous,EN,"No, I am a student in another school/department","University Division ",,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,"The information society ",Male,,White or Caucasian,No,,Q2LUD2F-1254
2022-09-11 18:02:51,2022-09-11 18:05:17,IP Address,107.77.207.204,100,146,True,2022-09-11 18:05:18,R_2asih8IlEiKMMgF,,,,,41.8764,-87.6133,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly Disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,three years,Yes,Yes,Yes,Yes,Yes,Yes,I222 The Information Society,Male,,White or Caucasian,No,,
2022-09-11 18:34:47,2022-09-11 18:36:03,IP Address,156.56.30.213,100,76,True,2022-09-11 18:36:03,R_DAjAU1Q20Wz7CxP,,,,,39.1215,-86.5784,anonymous,EN,"No, I am a student in another school/department",Kelley,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
2022-09-11 18:54:08,2022-09-11 18:55:08,IP Address,68.50.12.222,100,60,True,2022-09-11 18:55:08,R_1HcKsi7FZJ5LIZZ,,,,,39.1397,-86.5141,anonymous,EN,"No, I am a student in another school/department",n/a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2LUD2F-5393
2022-09-11 18:58:32,2022-09-11 19:02:38,IP Address,129.79.197.45,100,245,True,2022-09-11 19:02:39,R_1IszG87IWAPlsiB,,,,,39.1707,-86.519,anonymous,EN,"No, I am a student in another school/department",University Division,,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,this is my first year,Yes,No,Yes,Yes,Yes,Yes,I222,Female,,White or Caucasian,No,,
2022-09-11 19:16:47,2022-09-11 19:19:07,IP Address,68.45.51.140,100,140,True,2022-09-11 19:19:08,R_Uu8kAwz6kJhaetz,,,,,39.1215,-86.5784,anonymous,EN,"No, I am a student in another school/department","Kelley School of Business ",,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,two years,Yes,Yes,Yes,Yes,Yes,Yes,"The Information Society ",Male,,White or Caucasian,No,,Q2LUD2F-5990
2022-09-11 19:43:00,2022-09-11 19:44:45,IP Address,69.223.62.105,100,105,True,2022-09-11 19:44:46,R_2RXrx2SzTqxmytw,,,,,39.1397,-86.5141,anonymous,EN,"Yes, I am a student in the Luddy School",,Computer Science,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,two years,Yes,Yes,Yes,Yes,Yes,Yes,I-222,Male,,Asian,No,,Q2LUD2F-3138
2022-09-11 19:43:12,2022-09-11 19:46:43,IP Address,129.79.197.218,100,210,True,2022-09-11 19:46:43,R_01JAzYzvTKQm2CR,,,,,39.1707,-86.519,anonymous,EN,"Yes, I am a student in the Luddy School",,Informatics,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,this is my first year,Yes,Yes,Yes,Yes,Yes,Yes,Information Society,Male,,White or Caucasian,No,,
